skill,survey_tier,department_tags,description
Foundations & Theory,Theory & Conceptual Understanding,"CS,Engineering,Sciences,Mathematics,Medicine,Law,Humanities,Social Sciences","A topic focused on establishing formal definitions, theoretical models, laws, or first principles. The student learns what something is, how it is formally described, and the rules that govern it. No computation or creation required — the output is a mental model. Applies universally: Newton's laws in physics, constitutional doctrine in law, cell theory in biology, axiomatic set theory in mathematics."
Mathematical Reasoning & Proof,Theory & Conceptual Understanding,"Mathematics,CS,Physics,Engineering,Economics","A topic where the primary activity is constructing, verifying, or understanding formal mathematical proofs or logical arguments. The student reasons from axioms or assumptions to conclusions using rules of inference. Includes direct proof, induction, contradiction, and formal logic. Distinguished from Procedural Execution by the emphasis on rigor and justification rather than computation."
Historical & Contextual Knowledge,Theory & Conceptual Understanding,"Humanities,Social Sciences,Law,Medicine,Sciences,Arts","A topic where the student situates knowledge in its historical, cultural, or intellectual context. The activity is understanding why things developed the way they did, who the key actors or movements were, and how past events shape present understanding. Examples: history of scientific revolutions, development of constitutional law, intellectual history of economic thought, literary movements."
Procedural Execution,Problem Solving & Application,"CS,Engineering,Mathematics,Sciences,Medicine","A topic where the student follows a defined sequence of steps, applies a known algorithm, or executes a method on concrete inputs. The procedure is already known; the task is correct execution. Examples: running an algorithm on input, solving an equation, applying a clinical diagnostic protocol, performing a legal procedure, tracing code execution, applying an accounting method."
Clinical & Diagnostic Reasoning,Problem Solving & Application,"Medicine,Nursing,Pharmacy,Psychology","A topic where the student applies biomedical knowledge to patient cases: interpreting symptoms, forming differential diagnoses, selecting treatment strategies, or evaluating clinical outcomes. The activity bridges theory and real-world practice in health professions. Examples: diagnosing from ECG findings, interpreting lab results, case-based pharmacology."
Legal Reasoning & Interpretation,Problem Solving & Application,"Law,Political Science,Public Policy","A topic where the student applies legal rules and precedent to hypothetical or real cases, interprets statutes, constructs legal arguments, or evaluates judicial reasoning. The activity involves case analysis, statutory interpretation, and applying doctrine to facts. Distinguished from Ethical Reasoning by its focus on formal legal frameworks rather than moral philosophy."
Design & Engineering,Design & Creation,"CS,Engineering,Architecture,Product Design","A topic where the student designs and constructs an artifact, system, or program from open-ended requirements. The output is something new. Distinguished from Procedural Execution by its open-ended, creative nature — the student decides the structure. Examples: software system design, circuit design, structural engineering, product architecture, urban planning."
Creative & Artistic Practice,Design & Creation,"Arts,Humanities,Architecture,Media Studies,Music","A topic where the student produces original creative work: writing fiction or poetry, composing music, creating visual art, performing, or designing with aesthetic intent. The evaluation criteria include craft, voice, originality, and form, not just technical correctness. Applies to fine arts, creative writing, film, music composition, architectural design, and similar disciplines."
Planning & Project Management,Design & Creation,"Business,Engineering,CS,Architecture,Public Policy","A topic focused on planning and coordinating work: defining scope, allocating resources, managing timelines, handling risks, and delivering outcomes. Applies to engineering project management, business strategy, construction planning, event management, and policy implementation."
Data & Quantitative Reasoning,Data & Quantitative Reasoning,"CS,Sciences,Social Sciences,Economics,Business,Psychology,Medicine","A topic centered on numerical data, statistical analysis, measurement, or quantitative inference. The student collects, processes, or interprets data using mathematical and statistical methods. Applies across disciplines: clinical trials in medicine, survey analysis in sociology, economic modelling, machine learning, experimental physics."
Modeling & Simulation,Data & Quantitative Reasoning,"CS,Engineering,Sciences,Economics,Physics","A topic where the student constructs a formal or computational model to represent a real-world process and uses it to generate predictions or understand behavior. Examples: agent-based models, differential equation systems, finite element analysis, Monte Carlo simulation, economic equilibrium models, epidemiological models."
Financial & Economic Analysis,Data & Quantitative Reasoning,"Business,Economics,Finance,Accounting,Public Policy","A topic focused on understanding, measuring, or optimizing financial or economic variables. Includes microeconomic demand-supply analysis, macroeconomic policy, corporate finance, cost-benefit analysis, investment theory, and accounting. Distinguished from general Data Skills by the specific domain of economics and finance."
Experimentation & Inquiry,Investigation & Research,"Sciences,Medicine,Psychology,Social Sciences,Engineering","A topic involving open-ended inquiry: forming a research question, designing an experiment, reviewing existing evidence, or drawing conclusions from observations. The answer is not yet known and must be discovered through systematic investigation. Examples: lab practicals, clinical research design, field surveys, systematic literature reviews."
Textual & Interpretive Analysis,Investigation & Research,"Humanities,Law,Social Sciences,Media Studies,Languages","A topic requiring careful reading and interpretation of written or spoken texts, artworks, or cultural artefacts. The student analyses argument structure, rhetorical strategies, narrative techniques, or historical meaning. Examples: literary criticism, source analysis in history, discourse analysis in linguistics, statutory interpretation, film analysis."
Qualitative & Social Research,Investigation & Research,"Social Sciences,Psychology,Humanities,Education,Public Health","A topic involving qualitative research methods: data collection through interviews, focus groups, ethnographic observation, or archival research, and analysis through thematic coding, discourse analysis, or narrative approaches. Applies to sociology, anthropology, psychology, education research, and public health."
Critical Analysis,Critical Analysis & Argumentation,"CS,Engineering,Sciences,Humanities,Social Sciences,Law,Business,Medicine","A topic requiring the student to reason critically: compare alternatives, assess limitations, justify choices, or construct a logical argument. Goes beyond recall and execution — the student must judge, weigh evidence, or challenge assumptions. Universal across disciplines."
